State,specifier,agency,race,religion,sexualOrientation,disability,gender
ALABAMA,Total,,6,1,2,0,0,,,,,
,Cities,,6,1,2,0,0,,,,,
,,Alabaster,1,0,0,0,0,0,0,1,0,"30,002"
,,Hoover,3,0,1,0,0,1,1,2,0,"71,919"
,,Jasper,1,0,0,0,0,0,1,0,0,"14,129"
,,Leesburg,0,0,1,0,0,,1,,,823
,,Mobile,0,1,0,0,0,1,,0,0,"246,171"
,,Ozark,1,0,0,0,0,0,1,0,0,"14,670"
ALASKA,Total,,7,0,2,0,0,,,,,
,Cities,,7,0,2,0,0,,,,,
,,Anchorage,6,0,1,0,0,1,1,3,2,"283,300"
,,Bethel,1,0,1,0,0,0,1,0,1,"6,584"
ARIZONA,Total,,85,50,41,42,1,,,,,
,Cities,,69,47,38,37,0,,,,,
,,Avondale,2,0,0,2,0,3,0,1,0,"88,773"
,,Buckeye,0,0,0,1,0,0,0,0,1,"56,780"
,,Bullhead City,0,0,0,1,0,0,1,0,0,"41,721"
,,Chandler,0,2,0,0,0,1,1,0,0,"256,091"
,,Coolidge,1,0,0,0,0,0,0,1,0,"10,540"
,,Glendale,5,2,2,2,0,2,4,4,1,"255,080"
,,Jerome,0,0,1,0,0,1,0,0,0,356
,,Lake Havasu City,1,0,0,0,0,0,0,0,1,"58,406"
,,Mesa,4,1,2,1,0,1,5,1,1,"470,833"
,,Peoria,1,0,0,0,0,0,0,1,0,"164,366"
,,Phoenix,36,29,24,26,0,28,27,39,21,"1,597,397"
,,Prescott Valley,1,0,0,0,0,1,0,0,0,"40,539"
,,Scottsdale,9,4,2,2,0,4,2,4,7,"239,115"
,,Show Low,0,1,1,0,0,0,2,0,0,"12,929"
,,Sierra Vista,1,0,0,1,0,1,1,0,0,"43,956"
,,Tempe,5,2,4,1,0,5,5,1,1,"177,486"
,,Tucson,3,6,2,0,0,2,1,4,4,"547,981"
,Universities and Colleges,,6,1,0,1,1,,,,,
,,"Arizona State University, Main Campus",1,1,0,0,0,0,0,1,1,"67,082"
,,Northern Arizona University,0,0,0,0,1,0,1,0,0,"22,502"
,,Pima Community College,2,0,0,0,0,0,0,0,2,"34,136"
,,University of Arizona,3,0,0,1,0,0,2,1,1,"38,057"
,Metropolitan Counties,,10,2,3,4,0,,,,,
,,Maricopa,4,1,0,3,0,0,4,3,1,
,,Pima,1,1,2,0,0,1,1,0,2,
,,Pinal,4,0,0,1,0,0,2,0,3,
,,Yavapai,1,0,1,0,0,1,,,1,
ARKANSAS,Total,,45,5,16,7,1,,,,,
,Cities,,36,4,12,7,0,,,,,
,,Arkadelphia,0,1,0,0,0,0,0,1,0,"11,158"
,,Barling,0,0,0,1,0,1,0,0,0,"4,507"
,,Beebe,1,0,0,0,0,1,0,0,0,"7,096"
,,Berryville,1,0,0,0,0,0,0,0,1,"5,335"
,,Bryant,1,0,1,0,0,1,1,0,0,"15,573"
,,Cabot,1,0,0,0,0,0,0,0,1,"24,766"
,,Cammack Village,1,0,0,0,0,0,1,0,0,776
,,Conway,2,0,0,1,0,1,2,0,0,"59,343"
,,Farmington,1,0,0,0,0,1,0,0,0,"4,802"
,,Fayetteville,0,0,1,0,0,1,0,0,0,"75,120"
,,Fort Smith,1,0,0,0,0,0,0,0,1,"85,175"
,,Greers Ferry,0,0,1,0,0,0,0,0,1,967
,,Harrison,1,0,0,0,0,0,0,0,1,"13,312"
,,Hot Springs,0,1,0,0,0,1,0,0,0,"39,864"
,,Jacksonville,1,0,0,0,0,0,0,1,0,"31,483"
,,Jonesboro,2,1,0,0,0,0,1,0,2,"64,944"
,,Judsonia,2,0,0,0,0,0,1,0,1,"2,202"
,,Magnolia,0,0,1,0,0,0,1,0,0,"11,011"
,,Mayflower,2,0,0,0,0,0,0,1,1,"2,310"
,,McGehee,1,0,0,0,0,0,1,0,0,"3,888"
,,Mena,0,0,0,1,0,0,0,1,0,"5,626"
,,North Little Rock,3,0,0,1,0,0,1,2,1,"59,320"
,,Paragould,0,0,2,0,0,0,1,1,0,"25,113"
,,Pea Ridge,1,0,0,0,0,0,0,1,0,"4,924"
,,Pine Bluff,4,0,2,0,0,2,1,1,2,"49,915"
,,Russellville,0,0,1,0,0,1,0,0,0,"28,035"
,,Searcy,1,0,0,1,0,0,1,1,0,"22,647"
,,Sherwood,6,0,2,0,0,1,3,2,2,"24,888"
,,Springdale,0,1,0,0,0,0,0,1,0,"70,935"
,,Texarkana,0,0,1,2,0,2,1,0,0,"30,348"
,,West Memphis,1,0,0,0,0,0,0,1,0,"26,995"
,,Wynne,2,0,0,0,0,0,0,2,0,"8,419"
,Metropolitan Counties,,6,0,1,0,1,,,,,
,,Craighead,0,0,1,0,0,0,1,0,0,
,,Faulkner,1,0,0,0,0,0,0,1,0,
,,Pulaski,4,0,0,0,1,3,0,1,1,
,,Washington,1,0,0,0,0,1,0,0,0,
,Nonmetropolitan Counties,,3,1,3,0,0,,,,,
,,Arkansas,2,0,0,0,0,2,0,0,0,
,,Conway,0,0,1,0,0,0,1,0,0,
,,Fulton,0,0,1,0,0,1,0,0,0,
,,Polk,0,1,0,0,0,0,0,1,0,
,,Yell,1,0,1,0,0,1,1,0,0,
CALIFORNIA,Total,,453,194,222,142,4,,,,,
,Cities,,374,172,187,122,4,,,,,
,,Agoura Hills,1,2,0,0,0,1,1,0,1,"22,469"
,,Albany,0,1,1,0,0,1,0,0,1,"15,950"
,,Alhambra,4,0,1,0,0,0,2,2,1,"85,956"
,,Anaheim,0,0,1,0,0,0,0,1,0,"335,970"
,,Antioch,1,0,1,0,0,2,0,0,0,"101,243"
,,Arcata,0,0,1,0,0,0,0,0,1,"17,093"
,,Atherton,0,1,0,1,0,0,2,0,0,"7,430"
,,Avalon,0,0,1,0,0,1,0,0,0,"3,098"
,,Azusa,2,0,0,0,0,0,0,2,0,"47,078"
,,Bakersfield,1,0,0,1,0,0,1,1,0,"330,897"
,,Bellflower,1,1,0,0,0,1,0,1,0,"73,038"
,,Belmont,1,0,1,0,0,0,0,1,1,"24,742"
,,Benicia,1,0,0,0,0,0,1,0,0,"26,089"
,,Berkeley,0,0,0,1,0,0,0,0,1,"101,190"
,,Beverly Hills,2,0,0,0,0,0,0,0,2,"34,506"
,,Blythe,0,1,0,0,0,0,0,0,1,"21,841"
,,Brawley,0,0,1,0,0,0,0,1,0,"22,810"
,,Brentwood,1,0,0,0,0,0,0,1,0,"53,494"
,,Burbank,1,0,0,1,0,1,1,0,0,"103,248"
,,Camarillo,0,1,0,0,0,1,0,0,0,"64,011"
,,Campbell,1,2,1,0,0,1,1,1,1,"38,584"
