State,specifier,agency,race,religion,sexualOrientation,disability,gender
Alabama,Total,,8,1,0,0,0,0,,,,,
,Cities,,7,1,0,0,0,0,,,,,
,,Hoover,5,1,0,0,0,0,2,1,2,1,"85,634"
,,Ozark,2,0,0,0,0,0,1,,,1,"14,559"
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,Jacksonville State University,1,0,0,0,0,0,,,1,,"8,514"
Alaska,Total,,3,1,0,0,0,0,,,,,
,Cities,,3,0,0,0,0,0,,,,,
,,Anchorage,1,0,0,0,0,0,0,0,0,1,"296,188"
,,Juneau,2,0,0,0,0,0,0,0,0,2,"32,344"
,State Police Agencies,,0,1,0,0,0,0,,,,,
,,Alaska State Troopers,0,1,0,0,0,0,0,1,,,
Arizona,Total,,168,48,55,5,0,12,,,,,
,Cities,,160,47,52,5,0,12,,,,,
,,Avondale,0,0,1,0,0,0,0,0,0,1,"84,041"
,,Chandler,1,0,0,0,0,0,0,1,0,0,"249,355"
,,Cottonwood,1,0,0,0,0,0,0,0,0,1,"12,116"
,,El Mirage,1,0,0,0,0,0,0,1,,,"35,611"
,,Gilbert,2,1,0,0,0,0,0,1,1,1,"242,090"
,,Glendale,3,2,0,0,0,0,0,1,2,2,"249,273"
,,Mesa,4,1,0,0,0,0,1,0,1,3,"492,268"
,,Page,1,0,0,0,0,0,0,0,1,0,"7,632"
,,Phoenix2,142,41,44,4,0,12,49,57,48,65,"1,644,177"
,,Scottsdale,2,1,1,0,0,0,4,0,0,0,"251,840"
,,St. Johns,2,0,0,0,0,0,1,0,1,0,"3,581"
,,Tucson,0,1,3,1,0,0,1,2,1,1,"532,323"
,,Wickenburg,0,0,1,0,0,0,0,0,0,1,"6,979"
,,Yuma,1,0,2,0,0,0,1,0,2,0,"95,522"
,Universities and Colleges,,1,1,1,0,0,0,,,,,
,,University of Arizona,1,1,1,0,0,0,0,0,3,,"43,161"
,Metropolitan Counties,,5,0,2,0,0,0,,,,,
,,Maricopa,1,0,2,0,0,0,2,0,0,1,
,,Mohave,1,0,0,0,0,0,0,0,1,,
,,Pima,2,0,0,0,0,0,2,,,0,
,,Yuma,1,0,0,0,0,0,1,0,0,0,
,Nonmetropolitan Counties,,2,0,0,0,0,0,,,,,
,,Apache,2,0,0,0,0,0,0,0,0,2,
Arkansas,Total,,5,0,1,1,0,0,,,,,
,Cities,,5,0,1,0,0,0,,,,,
,,Benton,1,0,0,0,0,0,0,0,1,0,"36,702"
,,Fayetteville,0,0,1,0,0,0,0,0,0,1,"85,592"
,,Fort Smith,4,0,0,0,0,0,0,1,1,2,"88,437"
,Nonmetropolitan Counties,,0,0,0,1,0,0,,,,,
,,Boone,0,0,0,1,0,0,0,1,0,0,
California,Total,,603,207,248,4,4,29,,,,,
,Cities,,524,187,217,4,4,26,,,,,
,,Adelanto,1,0,1,0,0,0,1,1,0,0,"33,693"
,,Alameda,6,1,2,1,0,0,0,0,7,3,"79,761"
,,Albany2,1,0,2,0,0,0,1,0,1,0,"19,880"
,,Alhambra,1,0,0,0,0,1,1,1,0,0,"85,865"
,,Aliso Viejo,1,0,0,0,0,0,1,0,0,0,"51,984"
,,Anaheim,0,0,1,0,0,0,0,0,0,1,"353,400"
,,Antioch,1,0,0,0,0,0,0,1,0,0,"112,252"
,,Apple Valley,0,1,0,0,0,0,0,0,1,0,"73,105"
,,Arcata,1,0,1,0,0,0,1,0,1,0,"18,054"
,,Atwater,1,0,0,0,0,1,1,0,1,0,"29,442"
,,Azusa,2,0,0,0,0,0,0,0,1,1,"50,202"
,,Bakersfield,4,0,3,0,0,0,0,3,0,4,"381,154"
,,Bell,0,1,0,0,0,0,0,0,0,1,"35,925"
,,Bellflower,0,1,0,0,0,0,0,0,0,1,"77,984"
,,Bell Gardens,1,0,0,0,0,0,0,0,1,0,"42,930"
,,Belmont,0,1,0,0,0,0,1,0,0,0,"27,285"
,,Benicia,1,0,0,0,0,0,0,1,0,0,"28,370"
,,Berkeley,13,4,6,0,0,0,7,6,4,6,"122,687"
,,Beverly Hills,2,0,0,0,0,0,0,0,1,1,"34,781"
,,Brentwood,1,0,0,0,0,1,0,1,1,0,"62,120"
,,Buena Park,1,0,0,0,0,0,0,1,0,0,"83,552"
,,Burbank,1,6,1,0,0,0,1,1,0,6,"104,622"
,,Camarillo,1,0,0,0,0,0,0,1,0,0,"67,714"
,,Capitola,1,0,0,0,0,0,0,0,0,1,"10,222"
,,Carlsbad,4,2,1,0,0,0,0,4,0,3,"115,344"
,,Carson,0,1,0,0,0,0,0,0,1,0,"92,992"
,,Central Marin,0,2,0,0,0,0,0,1,0,1,"35,060"
,,Chico,1,0,0,0,0,0,0,0,1,0,"92,459"
,,Chino,5,0,1,0,0,0,2,2,1,1,"89,420"
,,Chino Hills,1,0,0,0,0,0,1,0,0,0,"79,480"
,,Citrus Heights,1,0,1,0,0,0,1,0,1,0,"88,126"
,,Clearlake,0,1,1,0,0,0,1,1,0,0,"15,018"
,,Colma,0,0,1,0,0,0,0,1,0,0,"1,520"
